gender,age,height,weight
0,19,160,64.8
0,19,172,73
0,22,168,70.6
1,19,183,79.7
0,21,175,71.4
1,19,189,85.8
0,21,156,65.9
0,21,167,65.7
1,18,195,94.4
0,18,165,66
0,22,162,66.8
0,18,172,66.8
1,23,185,84.6
0,20,158,64.4
0,19,157,66.3
1,20,172,73.9
0,22,156,61.7
1,22,182,82.1
0,21,162,69.2
0,22,168,70.9
0,20,167,68.5
1,37,175,70.4
1,19,164,70.3
0,38,155,67
1,23,183,81.8
0,26,145,54
0,25,161,66.8
1,24,182,80.1
0,54,169,71.4
1,22,172,69.6
1,23,172,73
1,19,192,88.9
1,22,175,72.6
1,18,173,75.7
0,20,170,71.6
1,21,176,74.1
0,20,180,75.6
1,23,185,80.7
0,22,172,68.3
0,21,171,74.5
0,19,153,64.9
0,20,157,64.4
1,23,190,89.3
0,20,173,78.3
0,19,170,68
1,19,160,62.2
0,23,170,69.6
1,20,171,72.1
0,22,160,66.2
1,23,181,76.2
1,21,161,66.7
0,25,164,65.9
1,24,170,68
1,20,174,72.8
1,21,171,65.7
1,22,184,83.3
1,19,173,73.2
0,20,167,73.3
1,21,182,83.5
0,23,159,63
0,44,167,69
1,18,183,81.8
0,21,157,62.9
0,20,173,78.1
0,32,171,67.6
1,20,182,77.4
1,20,169,71.6
1,22,167,65.9
1,23,174,70.7
1,41,194,94.9
1,23,182,82.7
0,24,152,64.9
0,20,154,63
0,24,159,60.6
0,23,153,63.2
0,20,150,63.3
0,19,167,72.8
0,25,149,56.2
0,21,155,62.1
1,22,177,77.5
1,24,180,77.1
0,24,159,62.2
0,19,174,71.1
1,23,174,74.9
0,21,159,62.4
0,19,160,65.3
1,22,169,68
0,21,166,67.9
0,21,155,67.5
1,26,178,76.7
0,23,162,61.8
0,21,181,79
0,20,168,69.4
1,20,181,80
0,20,158,60.6
1,23,177,79.4
1,18,169,73.8
1,19,176,76.4
0,21,166,64.3
0,23,173,71.6
0,22,168,72.8
0,21,155,61.7
0,21,173,71.2
1,21,177,73.3
0,21,176,78.6
1,22,190,89.8
1,25,190,86.5
1,20,174,72.1
1,18,183,81.4
0,24,162,62.4
1,22,173,77.4
1,20,192,89.4
0,21,164,66.4
1,20,192,92.6
0,18,155,62.6
0,18,176,74.3
1,19,168,68.1
0,19,175,76.8
0,22,156,67.5
0,22,163,67.1
1,25,172,75.8
0,23,166,63.3
1,20,168,68.4
1,22,170,72
0,19,155,62.9
1,21,174,75.4
1,22,164,67.6
1,18,178,76.3
0,20,168,68.6
0,23,160,65.1
1,21,187,89.4
0,19,153,58.4
1,21,187,85.3
0,21,173,70.2
0,20,156,68.6
0,21,162,63.4
0,24,166,68.3
0,22,165,69.3
